index;dia;mes;ano;valor
0;21;8;2018;3914.55
1;22;8;2018;3713.02
2;23;8;2018;8001.75
3;24;8;2018;11312.95
4;25;8;2018;15230.01
5;26;8;2018;11208.81
6;27;8;2018;3142.4
7;28;8;2018;3027.2
8;29;8;2018;4926.52
9;30;8;2018;8065.26
10;31;8;2018;10508.2
11;1;9;2018;17168.31
12;2;9;2018;13380.5
13;3;9;2018;2833.27
14;4;9;2018;4544.58
15;5;9;2018;6616.55
16;6;9;2018;17474.74
17;7;9;2018;18605.45
18;8;9;2018;14013.45
19;9;9;2018;11398.83
20;10;9;2018;2994.14
21;11;9;2018;2321.52
22;12;9;2018;4237.98
23;13;9;2018;8980.6
24;14;9;2018;11580.41
25;15;9;2018;17847.85
26;16;9;2018;14627.79
27;17;9;2018;3183.39
28;18;9;2018;3541.42
29;19;9;2018;5449.34
30;20;9;2018;9600.01
31;21;9;2018;14069.42
32;22;9;2018;17530.81
33;23;9;2018;14223.58
34;24;9;2018;3804.32
35;25;9;2018;3389.9
36;26;9;2018;4368.52
37;27;9;2018;8773.46
38;28;9;2018;10285.94
39;29;9;2018;15714.05
40;30;9;2018;14146.15
41;1;10;2018;4516.65
42;2;10;2018;4719.77
43;3;10;2018;5325.13
44;4;10;2018;10793.82
45;5;10;2018;16439.73
46;6;10;2018;16145.05
47;7;10;2018;14954.49
48;8;10;2018;3660.66
49;9;10;2018;3445.37
50;10;10;2018;5815.37
51;11;10;2018;14164.03
52;12;10;2018;12916.15
53;13;10;2018;13871.97
54;14;10;2018;10994.9
55;15;10;2018;7181.68
56;16;10;2018;3534.76
57;17;10;2018;4463.52
58;18;10;2018;8746.33
59;19;10;2018;11200.49
60;20;10;2018;15562.98
61;21;10;2018;12947.56
62;22;10;2018;3710.66
63;23;10;2018;3932.56
64;24;10;2018;5117.4
65;25;10;2018;7973.97
66;26;10;2018;11496.88
67;27;10;2018;15060.21
68;28;10;2018;13367.74
69;29;10;2018;4178.29
70;30;10;2018;2623.59
71;31;10;2018;6190.43
